0	14	0	0	7	0	347	394	0	0.035533	0	0	0.017766	0	0.88071	7	7
0	2	0	403	0	2	29	465	0	0.0043011	0	0.86667	0	0.0043011	0.062366	4	4
0	1	378	23	0	8	739	1260	0	0.00079365	0.3	0.018254	0	0.0063492	0.58651	7	7
449	0	0	0	0	28	32	532	0.84398	0	0	0	0	0.052632	0.06015	1	1
2	0	0	0	209	0	0	240	0.0083333	0	0	0	0.87083	0	0	5	5
474	0	552	0	368	0	0	1525	0.31082	0	0.36197	0	0.24131	0	0	0	3
652	0	126	14	0	83	1108	2204	0.29583	0	0.057169	0.0063521	0	0.037659	0.50272	7	7
3	0	507	0	1069	0	21	1797	0.0016694	0	0.28214	0	0.59488	0	0.011686	5	5
3	0	0	15	6	29	332	557	0.005386	0	0	0.02693	0.010772	0.052065	0.59605	7	7
1576	0	147	0	0	0	0	1902	0.8286	0	0.077287	0	0	0	0	1	1
0	0	0	22	728	0	406	1245	0	0	0	0.017671	0.58474	0	0.3261	5	5
1021	0	0	0	0	0	8	1129	0.90434	0	0	0	0	0	0.0070859	1	1
0	0	0	0	385	0	396	872	0	0	0	0	0.44151	0	0.45413	7	7
77	0	137	0	423	0	1276	2047	0.037616	0	0.066927	0	0.20664	0	0.62335	7	7
325	0	0	0	22	0	0	356	0.91292	0	0	0	0.061798	0	0	1	1
0	404	8	102	0	0	0	608	0	0.66447	0.013158	0.16776	0	0	0	2	2
0	41	291	184	0	98	183	899	0	0.045606	0.32369	0.20467	0	0.10901	0.20356	0	3
0	0	0	0	2	0	375	404	0	0	0	0	0.0049505	0	0.92822	7	7
0	0	0	115	0	154	446	759	0	0	0	0.15152	0	0.2029	0.58762	7	7
512	0	0	0	0	0	0	559	0.91592	0	0	0	0	0	0	1	1
0	1247	293	7	0	10	0	1666	0	0.7485	0.17587	0.0042017	0	0.0060024	0	2	2
0	56	0	211	0	183	37	505	0	0.11089	0	0.41782	0	0.36238	0.073267	4	4
0	1157	440	24	0	0	6	1988	0	0.58199	0.22133	0.012072	0	0	0.0030181	2	2
58	23	351	106	0	174	663	1626	0.03567	0.014145	0.21587	0.065191	0	0.10701	0.40775	7	7
0	0	0	13	0	0	501	563	0	0	0	0.023091	0	0	0.88988	7	7
0	0	18	705	18	787	946	2768	0	0	0.0065029	0.2547	0.0065029	0.28432	0.34176	0	7
0	197	409	961	0	5	1711	3700	0	0.053243	0.11054	0.25973	0	0.0013514	0.46243	7	7
458	25	941	1	0	554	20	2142	0.21382	0.011671	0.43931	0.00046685	0	0.25864	0.0093371	3	3
0	524	0	286	251	0	697	1858	0	0.28202	0	0.15393	0.13509	0	0.37513	0	7
0	251	372	502	0	68	210	1568	0	0.16008	0.23724	0.32015	0	0.043367	0.13393	0	4
0	0	0	0	10	0	51	93	0	0	0	0	0.10753	0	0.54839	7	7
0	0	0	0	248	0	0	302	0	0	0	0	0.82119	0	0	5	5
0	171	0	3	0	0	0	182	0	0.93956	0	0.016484	0	0	0	2	2
0	178	0	542	37	0	127	1035	0	0.17198	0	0.52367	0.035749	0	0.12271	4	4
220	0	97	0	0	0	0	9211	0.023884	0	0.010531	0	0	0	0	0	0
1	0	0	0	0	0	0	1468	0.0006812	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	619	0	0	0	0	0	0	0	0	0
0	0	0	1	0	0	0	917	0	0	0	0.0010905	0	0	0	0	0
0	0	0	0	0	0	0	321	0	0	0	0	0	0	0	0	0
38	0	0	0	38	0	0	758	0.050132	0	0	0	0.050132	0	0	0	0
0	0	0	0	7	0	0	297	0	0	0	0	0.023569	0	0	0	0
0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	650	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	1030	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	264	0	0	0	0	0	0	0	0	0
21	0	0	0	7	0	0	727	0.028886	0	0	0	0.0096286	0	0	0	0
0	0	0	0	4	0	0	265	0	0	0	0	0.015094	0	0	0	0
0	0	0	0	6	0	0	146	0	0	0	0	0.041096	0	0	0	0
0	0	0	193	0	0	189	382	0	0	0	0.50524	0	0	0.49476	4	4
0	0	0	146	0	259	0	411	0	0	0	0.35523	0	0.63017	0	6	6
0	0	370	0	0	477	262	1251	0	0	0.29576	0	0	0.38129	0.20943	0	6
492	0	0	0	0	0	27	532	0.92481	0	0	0	0	0	0.050752	1	1
37	0	0	0	169	0	0	241	0.15353	0	0	0	0.70124	0	0	5	5
1192	0	0	0	296	0	3	1656	0.71981	0	0	0	0.17874	0	0.0018116	1	1
230	0	925	95	0	593	480	2538	0.090623	0	0.36446	0.037431	0	0.23365	0.18913	0	3
532	0	9	0	648	0	415	1747	0.30452	0	0.0051517	0	0.37092	0	0.23755	0	5
27	0	0	0	0	62	216	330	0.081818	0	0	0	0	0.18788	0.65455	7	7
1557	0	103	0	0	0	0	1835	0.8485	0	0.056131	0	0	0	0	1	1
0	0	0	38	684	137	277	1244	0	0	0	0.030547	0.54984	0.11013	0.22267	5	5
1153	0	0	0	0	0	34	1259	0.91581	0	0	0	0	0	0.027006	1	1
0	0	0	0	342	1	552	950	0	0	0	0	0.36	0.0010526	0.58105	7	7
72	3	136	65	436	0	1241	2088	0.034483	0.0014368	0.065134	0.03113	0.20881	0	0.59435	7	7
333	0	0	0	12	0	0	353	0.94334	0	0	0	0.033994	0	0	1	1
0	398	18	181	0	0	0	682	0	0.58358	0.026393	0.2654	0	0	0	2	2
0	24	353	227	0	16	31	719	0	0.03338	0.49096	0.31572	0	0.022253	0.043115	3	3
0	0	0	0	0	162	142	348	0	0	0	0	0	0.46552	0.40805	6	6
